ion,feature_id,cluster_mz,n_present_samples,min_detection_fraction,median_detection_fraction,n_total_samples,presence_fraction,passes
pos,pos_mz_100.0392_02905,100.03915,1,1.0,1.0,1,1.0,True
pos,pos_mz_100.0473_02908,100.04725,1,0.970873786407767,0.970873786407767,1,1.0,True
pos,pos_mz_100.0755_02912,100.07554999999999,1,1.0,1.0,1,1.0,True
pos,pos_mz_100.0838_02915,100.08375000000001,1,0.8640776699029126,0.8640776699029126,1,1.0,True
pos,pos_mz_100.1120_02918,100.11200000000001,1,1.0,1.0,1,1.0,True
pos,pos_mz_100.9482_02929,100.94824999999999,1,0.9805825242718447,0.9805825242718447,1,1.0,True
pos,pos_mz_100.9989_02936,100.99885,1,0.9902912621359223,0.9902912621359223,1,1.0,True
pos,pos_mz_101.0233_02947,101.02325,1,1.0,1.0,1,1.0,True
pos,pos_mz_101.0596_02954,101.0596,1,1.0,1.0,1,1.0,True
pos,pos_mz_101.1153_02967,101.11534999999999,1,0.9611650485436893,0.9611650485436893,1,1.0,True
pos,pos_mz_102.0549_02992,102.0549,1,1.0,1.0,1,1.0,True
pos,pos_mz_102.0629_02994,102.0629,1,0.9223300970873787,0.9223300970873787,1,1.0,True
pos,pos_mz_102.0912_02998,102.0912,1,1.0,1.0,1,1.0,True
pos,pos_mz_102.9701_03044,102.9701,1,1.0,1.0,1,1.0,True
pos,pos_mz_103.0388_03078,103.03880000000001,1,1.0,1.0,1,1.0,True
pos,pos_mz_103.0752_03089,103.07525,1,0.9902912621359223,0.9902912621359223,1,1.0,True
pos,pos_mz_103.0864_03090,103.0864,1,1.0,1.0,1,1.0,True
pos,pos_mz_103.9735_03099,103.97345000000001,1,1.0,1.0,1,1.0,True
pos,pos_mz_104.0341_03107,104.03415,1,0.9902912621359223,0.9902912621359223,1,1.0,True
pos,pos_mz_104.0705_03111,104.07045000000001,1,1.0,1.0,1,1.0,True
pos,pos_mz_104.9661_03119,104.96610000000001,1,1.0,1.0,1,1.0,True
pos,pos_mz_104.9744_03125,104.97440000000002,1,1.0,1.0,1,1.0,True
pos,pos_mz_105.0032_03128,105.00319999999999,1,1.0,1.0,1,1.0,True
pos,pos_mz_105.0334_03137,105.0334,1,1.0,1.0,1,1.0,True
pos,pos_mz_105.0367_03138,105.03670000000002,1,0.9902912621359223,0.9902912621359223,1,1.0,True
pos,pos_mz_105.0697_03146,105.06975,1,1.0,1.0,1,1.0,True
pos,pos_mz_106.0039_03165,106.00394999999999,1,1.0,1.0,1,1.0,True
pos,pos_mz_106.0078_03166,106.00780000000002,1,1.0,1.0,1,1.0,True
pos,pos_mz_106.9630_03215,106.96300000000001,1,1.0,1.0,1,1.0,True
pos,pos_mz_106.9918_03227,106.9918,1,1.0,1.0,1,1.0,True
pos,pos_mz_107.0007_03232,107.00065000000001,1,1.0,1.0,1,1.0,True
pos,pos_mz_107.0434_03250,107.0434,1,1.0,1.0,1,1.0,True
pos,pos_mz_107.0489_03252,107.04894999999999,1,1.0,1.0,1,1.0,True
pos,pos_mz_107.0701_03257,107.0701,1,1.0,1.0,1,1.0,True
pos,pos_mz_107.0854_03265,107.0854,1,1.0,1.0,1,1.0,True
pos,pos_mz_107.5451_03281,107.54514999999999,1,1.0,1.0,1,1.0,True
pos,pos_mz_107.9951_03298,107.99510000000001,1,0.9805825242718447,0.9805825242718447,1,1.0,True
pos,pos_mz_108.0806_03321,108.08055,1,1.0,1.0,1,1.0,True
pos,pos_mz_108.9875_03347,108.9875,1,1.0,1.0,1,1.0,True
pos,pos_mz_108.9960_03348,108.99600000000001,1,0.8640776699029126,0.8640776699029126,1,1.0,True
pos,pos_mz_109.0647_03371,109.06465,1,1.0,1.0,1,1.0,True
pos,pos_mz_109.1011_03380,109.10110000000002,1,1.0,1.0,1,1.0,True
pos,pos_mz_110.0600_03413,110.05995,1,0.9902912621359223,0.9902912621359223,1,1.0,True
pos,pos_mz_110.1044_03423,110.10440000000001,1,1.0,1.0,1,1.0,True
pos,pos_mz_110.9601_03434,110.96015,1,0.8446601941747572,0.8446601941747572,1,1.0,True
pos,pos_mz_111.0231_03442,111.02305000000001,1,0.9805825242718447,0.9805825242718447,1,1.0,True
pos,pos_mz_111.0415_03445,111.04154999999999,1,1.0,1.0,1,1.0,True
pos,pos_mz_111.0438_03446,111.04384999999999,1,1.0,1.0,1,1.0,True
pos,pos_mz_111.0803_03458,111.0803,1,1.0,1.0,1,1.0,True
pos,pos_mz_111.1167_03464,111.11672000000002,1,1.0,1.0,1,1.0,True
pos,pos_mz_112.0754_03490,112.07540000000002,1,0.941747572815534,0.941747572815534,1,1.0,True
pos,pos_mz_112.0838_03493,112.08375000000001,1,0.8543689320388349,0.8543689320388349,1,1.0,True
pos,pos_mz_112.1200_03495,112.12004999999999,1,0.9320388349514563,0.9320388349514563,1,1.0,True
pos,pos_mz_113.0596_03526,113.05955,1,1.0,1.0,1,1.0,True
pos,pos_mz_113.0959_03531,113.0959,1,1.0,1.0,1,1.0,True
pos,pos_mz_114.0912_03572,114.0912,1,1.0,1.0,1,1.0,True
pos,pos_mz_114.9701_03609,114.9701,1,1.0,1.0,1,1.0,True
pos,pos_mz_115.0364_03631,115.0364,1,1.0,1.0,1,1.0,True
pos,pos_mz_115.0387_03632,115.03875,1,0.9611650485436893,0.9611650485436893,1,1.0,True
pos,pos_mz_115.0752_03643,115.0752,1,1.0,1.0,1,1.0,True
pos,pos_mz_115.0945_03650,115.0945,1,0.9320388349514563,0.9320388349514563,1,1.0,True
pos,pos_mz_115.1116_03652,115.1116,1,1.0,1.0,1,1.0,True
pos,pos_mz_116.0486_03688,116.0486,1,0.8932038834951457,0.8932038834951457,1,1.0,True
pos,pos_mz_116.0785_03697,116.07845,1,0.8252427184466019,0.8252427184466019,1,1.0,True
pos,pos_mz_117.0543_03751,117.05435,1,0.9223300970873787,0.9223300970873787,1,1.0,True
pos,pos_mz_117.0909_03767,117.09085,1,1.0,1.0,1,1.0,True
pos,pos_mz_117.1021_03770,117.1021,1,1.0,1.0,1,1.0,True
pos,pos_mz_117.9583_03793,117.95835,1,0.9611650485436893,0.9611650485436893,1,1.0,True
pos,pos_mz_118.0650_03813,118.06495000000001,1,1.0,1.0,1,1.0,True
pos,pos_mz_118.9425_03837,118.94245000000001,1,1.0,1.0,1,1.0,True
pos,pos_mz_118.9918_03855,118.99179999999998,1,1.0,1.0,1,1.0,True
pos,pos_mz_119.0282_03869,119.02820000000001,1,1.0,1.0,1,1.0,True
pos,pos_mz_120.0235_03923,120.02346666666669,1,1.0,1.0,1,1.0,True
pos,pos_mz_120.0477_03932,120.04765000000002,1,1.0,1.0,1,1.0,True
